Gmt time,Open,High,Low,Close,Volume
01.01.2000 00:00:00.000,1469.250,1469.250,1469.250,1469.250,0
02.01.2000 00:00:00.000,1469.250,1469.250,1469.250,1469.250,0
03.01.2000 00:00:00.000,1469.250,1478.000,1438.360,1455.220,0
04.01.2000 00:00:00.000,1455.220,1455.220,1397.430,1399.420,0
05.01.2000 00:00:00.000,1399.420,1413.270,1377.680,1402.110,0
06.01.2000 00:00:00.000,1402.110,1411.900,1392.020,1403.450,0
07.01.2000 00:00:00.000,1403.450,1441.470,1400.730,1441.470,0
08.01.2000 00:00:00.000,1441.470,1441.470,1441.470,1441.470,0
09.01.2000 00:00:00.000,1441.470,1441.470,1441.470,1441.470,0
10.01.2000 00:00:00.000,1441.470,1464.360,1441.470,1457.600,0
11.01.2000 00:00:00.000,1457.600,1458.660,1434.420,1438.560,0
12.01.2000 00:00:00.000,1438.560,1442.600,1427.080,1432.250,0
13.01.2000 00:00:00.000,1432.250,1454.200,1432.250,1449.680,0
14.01.2000 00:00:00.000,1449.680,1473.000,1449.680,1465.150,0
15.01.2000 00:00:00.000,1465.150,1465.150,1465.150,1465.150,0
16.01.2000 00:00:00.000,1465.150,1465.150,1465.150,1465.150,0
17.01.2000 00:00:00.000,1465.150,1465.150,1465.150,1465.150,0
18.01.2000 00:00:00.000,1465.150,1465.150,1451.300,1455.140,0
19.01.2000 00:00:00.000,1455.140,1461.390,1448.680,1455.900,0
20.01.2000 00:00:00.000,1455.900,1465.710,1438.540,1445.570,0
21.01.2000 00:00:00.000,1445.570,1453.180,1439.600,1441.360,0
22.01.2000 00:00:00.000,1441.360,1441.360,1441.360,1441.360,0
23.01.2000 00:00:00.000,1441.360,1441.360,1441.360,1441.360,0
24.01.2000 00:00:00.000,1441.360,1454.090,1395.420,1401.910,0
25.01.2000 00:00:00.000,1401.530,1414.260,1388.490,1410.030,0
26.01.2000 00:00:00.000,1410.030,1412.730,1400.160,1404.090,0
27.01.2000 00:00:00.000,1404.090,1418.860,1380.710,1398.560,0
28.01.2000 00:00:00.000,1398.560,1398.560,1356.200,1360.160,0
29.01.2000 00:00:00.000,1360.160,1360.160,1360.160,1360.160,0
30.01.2000 00:00:00.000,1360.160,1360.160,1360.160,1360.160,0
31.01.2000 00:00:00.000,1360.160,1394.500,1350.050,1394.460,0
01.02.2000 00:00:00.000,1394.460,1412.490,1384.790,1409.280,0
02.02.2000 00:00:00.000,1409.280,1420.610,1403.490,1409.120,0
03.02.2000 00:00:00.000,1409.120,1425.780,1398.520,1424.970,0
04.02.2000 00:00:00.000,1424.970,1435.910,1420.630,1424.370,0
05.02.2000 00:00:00.000,1424.370,1424.370,1424.370,1424.370,0
06.02.2000 00:00:00.000,1424.370,1424.370,1424.370,1424.370,0
07.02.2000 00:00:00.000,1424.370,1427.150,1413.330,1423.000,0
08.02.2000 00:00:00.000,1424.240,1441.830,1424.240,1441.750,0
09.02.2000 00:00:00.000,1441.720,1444.550,1411.650,1411.710,0
10.02.2000 00:00:00.000,1411.700,1422.100,1406.430,1416.830,0
11.02.2000 00:00:00.000,1416.830,1416.830,1378.890,1387.120,0
12.02.2000 00:00:00.000,1387.120,1387.120,1387.120,1387.120,0
13.02.2000 00:00:00.000,1387.120,1387.120,1387.120,1387.120,0
14.02.2000 00:00:00.000,1387.120,1394.930,1380.530,1389.940,0
15.02.2000 00:00:00.000,1389.940,1407.720,1376.250,1402.050,0
16.02.2000 00:00:00.000,1402.050,1404.550,1385.580,1387.670,0
17.02.2000 00:00:00.000,1387.670,1399.880,1380.070,1388.250,0
18.02.2000 00:00:00.000,1388.260,1388.590,1345.320,1346.090,0
19.02.2000 00:00:00.000,1346.090,1346.090,1346.090,1346.090,0
20.02.2000 00:00:00.000,1346.090,1346.090,1346.090,1346.090,0
21.02.2000 00:00:00.000,1346.090,1346.090,1346.090,1346.090,0
22.02.2000 00:00:00.000,1346.090,1358.110,1331.880,1352.170,0
23.02.2000 00:00:00.000,1352.170,1370.110,1342.440,1360.690,0
24.02.2000 00:00:00.000,1360.690,1364.800,1329.880,1353.430,0
25.02.2000 00:00:00.000,1353.430,1362.140,1329.150,1333.360,0
26.02.2000 00:00:00.000,1333.360,1333.360,1333.360,1333.360,0
27.02.2000 00:00:00.000,1333.360,1333.360,1333.360,1333.360,0
28.02.2000 00:00:00.000,1333.360,1360.820,1325.020,1348.050,0
